customer_id,full_name,email,country,signup_date,risk_segment
CUST_00000,Lorraine Jones,bwalker@example.org,Russian Federation,2024-05-04,high
CUST_00001,Trevor Butcher,frances20@example.com,American Samoa,2022-06-24,low
CUST_00002,Luke Tucker,gmoore@example.org,Libyan Arab Jamahiriya,2023-08-08,low
CUST_00003,Mrs Amanda Lawrence,ucoates@example.com,New Zealand,2025-02-16,high
CUST_00004,Victoria Wright,geraldbutler@example.com,Bolivia,2025-03-11,medium
CUST_00005,Miss Patricia Moore,samanthaquinn@example.net,French Polynesia,2023-04-01,low
CUST_00006,Jordan Richards,amandacooper@example.org,Marshall Islands,2022-08-25,low
CUST_00007,Nicole Butler-Patterson,butlergraeme@example.com,British Indian Ocean Territory (Chagos Archipelago),2022-12-27,low
CUST_00008,Sylvia Howard-Whittaker,stanleyjames@example.com,Jordan,2022-04-08,high
CUST_00009,Sean Daniels,jordan69@example.org,Saint Kitts and Nevis,2025-05-24,low
CUST_00010,Dr Lisa Elliott,lesleyquinn@example.com,Comoros,2025-05-09,high
CUST_00011,Josh Morris-Lewis,amelia98@example.org,Azerbaijan,2025-09-16,high
CUST_00012,Bernard Griffiths-Walters,jeffrey17@example.com,Slovakia (Slovak Republic),2024-09-04,high
CUST_00013,Claire Alexander,eturner@example.net,Saint Martin,2022-05-15,low
CUST_00014,Barry Norman-Harrison,uwright@example.org,United States of America,2023-12-12,high
CUST_00015,Christine Begum,zoe26@example.net,Fiji,2024-10-25,medium
CUST_00016,Dr Leon Weston,julielewis@example.net,Cayman Islands,2022-06-18,low
CUST_00017,Jill Ellis,agrant@example.com,Guam,2022-10-13,low
CUST_00018,Molly Doyle-Baldwin,arthurjones@example.net,Sao Tome and Principe,2021-09-05,low
CUST_00019,Kerry Wright,toby86@example.com,Ethiopia,2024-05-23,low
CUST_00020,Shannon Bird,grahamharding@example.org,American Samoa,2025-02-03,low
CUST_00021,Dr Edward Tucker,ngough@example.org,Norway,2024-07-11,high
CUST_00022,Daniel Jackson,obrown@example.com,Western Sahara,2026-01-02,high
CUST_00023,Dr Pauline Lee,invalid_email,Maldives,2021-08-14,low
CUST_00024,Georgia Wong-Jones,calexander@example.org,Cote d'Ivoire,2025-06-04,high
CUST_00025,Craig Fletcher,umorris@example.com,Mauritania,2023-08-16,low
CUST_00026,Gary Reed-Reynolds,jordanelliott@example.net,Bulgaria,2025-03-31,high
CUST_00027,Miss Amy Wilson,iansmith@example.net,Bhutan,2025-09-05,high
CUST_00028,Mrs Harriet Scott,millerdylan@example.com,British Indian Ocean Territory (Chagos Archipelago),2022-06-24,high
CUST_00029,Jasmine Wilson,invalid_email,Angola,2021-03-26,high
CUST_00030,Albert George,garry52@example.org,Portugal,2026-02-03,medium
CUST_00031,Catherine Roberts,christine85@example.org,Western Sahara,2022-02-06,low
CUST_00032,Diana Thomas,thomas82@example.org,Nigeria,2024-01-07,medium
CUST_00033,Sharon Goddard,chloe58@example.org,Japan,2021-10-27,high
CUST_00034,Lorraine Harris,shayes@example.org,Northern Mariana Islands,2024-06-25,medium
CUST_00035,Roger Cooper-Miller,junelees@example.com,Ghana,2023-10-30,low
CUST_00036,Mr Lee Dennis,donald53@example.org,Antarctica (the territory South of 60 deg S),2025-02-18,low
CUST_00037,Glenn Johnson,zoerhodes@example.com,Marshall Islands,2025-08-20,high
CUST_00038,Hilary Curtis,vmoore@example.org,Rwanda,2025-01-19,medium
CUST_00039,Dr Ellie Dean,eleanor22@example.net,Panama,2021-05-23,medium
CUST_00040,Mr Nicholas Morgan,unewton@example.com,Nepal,2023-10-03,medium
CUST_00041,Benjamin Morton-Gregory,gail57@example.org,Sao Tome and Principe,2021-03-05,low
CUST_00042,Ellie Baker,martingordon@example.org,Saint Vincent and the Grenadines,2025-04-08,low
CUST_00043,Clive Rowe,xowen@example.org,Algeria,2021-04-22,medium
CUST_00044,Kieran Arnold-Lewis,richardsleslie@example.org,Finland,2025-12-11,low
CUST_00045,Declan Roberts,dominicbutler@example.org,American Samoa,2024-01-05,low
CUST_00046,Valerie Anderson,simpsonmartyn@example.org,Honduras,2022-11-11,medium
CUST_00047,Bruce Lloyd,ttaylor@example.org,Saudi Arabia,2022-01-07,low
CUST_00048,Glen Barnes-Lee,ericstorey@example.org,Martinique,2025-08-25,medium
CUST_00049,Miss Tina Burrows,russellwilliams@example.com,Rwanda,2025-12-14,medium
CUST_00050,Edward Spencer,dean42@example.com,Armenia,2024-03-06,high
CUST_00051,Ruth Kelly,thomsontoby@example.net,Costa Rica,2021-07-13,medium
CUST_00052,Eric Hall,woodmarc@example.org,Norfolk Island,2023-01-18,low
CUST_00053,Marian Norris,franklinjodie@example.org,Russian Federation,2022-04-05,high
CUST_00054,Jane Bishop,xpatel@example.com,Kiribati,2026-01-18,medium
CUST_00055,Terence Thompson-Burton,katy06@example.org,Timor-Leste,2025-02-27,high
CUST_00056,Kayleigh Noble,harrietboyle@example.com,Estonia,2024-05-09,low
CUST_00057,Dr Ian Turner,nathan09@example.org,Comoros,2021-03-04,medium
CUST_00058,Dr Denis Hunt,allenjulia@example.net,Tanzania,2025-03-07,low
CUST_00059,Nathan Hill,dcooper@example.com,Burundi,2025-02-13,high
CUST_00060,Leah James-Smith,cameron91@example.net,Holy See (Vatican City State),2024-03-14,medium
CUST_00061,Allan King,thomaspeter@example.org,Armenia,2023-03-09,high
CUST_00062,Gordon Marshall,brenda75@example.org,Dominican Republic,2022-09-10,high
CUST_00063,Dr Marilyn Dennis,nhartley@example.com,Nigeria,2022-04-07,medium
CUST_00064,Glenn Clayton,benbull@example.com,Cameroon,2023-05-20,high
CUST_00065,Mrs Marilyn Rees,invalid_email,Cote d'Ivoire,2024-09-03,low
CUST_00066,Lynda Cooper,mitchell55@example.com,Lithuania,2021-08-26,high
CUST_00067,Marcus Walsh-Banks,katherinecooper@example.org,Netherlands,2022-03-25,low
CUST_00068,Mr Gerard Berry,garry27@example.com,Ghana,2025-09-16,low
CUST_00069,Miss Natalie Anderson,richardsonkelly@example.net,Netherlands,2025-06-28,high
